,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOGL,Alphabet Inc,2022-04-26T20:00:00.000Z,AMC,25.73,,,EDT,-14400000,EQUITY
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,GOOGL,Alphabet Inc.,2022-02-01T16:02:00.000Z,TAS,27.34,30.69,12.24,EST,-18000000,EQUITY
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,GOOGL,Alphabet Inc.,2021-10-26T16:00:00.000Z,TAS,23.48,27.99,19.21,EDT,-14400000,EQUITY
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,GOOGL,Alphabet Inc.,2021-07-27T16:20:00.000Z,TAS,19.34,27.26,40.94,EDT,-14400000,EQUITY
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,GOOGL,Alphabet Inc.,2021-04-27T16:02:00.000Z,TAS,15.82,26.29,66.18,EDT,-14400000,EQUITY
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,GOOGL,Alphabet Inc.,2021-02-02T16:03:00.000Z,TAS,15.9,22.3,40.25,EST,-18000000,EQUITY
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,GOOGL,Alphabet Inc.,2020-10-29T16:13:00.000Z,TAS,11.29,16.4,45.27,EDT,-14400000,EQUITY
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,GOOGL,Alphabet Inc.,2020-07-30T16:14:00.000Z,TAS,8.21,10.13,23.42,EDT,-14400000,EQUITY
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,GOOGL,Alphabet Inc.,2020-04-28T16:06:00.000Z,TAS,10.33,9.87,-4.41,EDT,-14400000,EQUITY
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,GOOGL,Alphabet Inc.,2020-02-03T16:02:00.000Z,TAS,12.53,15.35,22.5,EST,-18000000,EQUITY
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,GOOGL,Alphabet Inc.,2019-10-28T16:04:00.000Z,TAS,12.42,10.12,-18.53,EDT,-14400000,EQUITY
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,GOOGL,Alphabet Inc.,2019-07-25T16:02:00.000Z,TAS,11.3,14.21,25.79,EDT,-14400000,EQUITY
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,GOOGL,Alphabet Inc.,2019-04-29T16:03:00.000Z,TAS,10.61,9.5,-10.5,EDT,-14400000,EQUITY
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,GOOGL,Alphabet Inc.,2019-02-04T16:03:00.000Z,TAS,10.82,12.77,18.05,EST,-18000000,EQUITY
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,GOOGL,Alphabet Inc.,2018-10-25T16:14:00.000Z,TAS,10.42,13.06,25.32,EDT,-14400000,EQUITY
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,GOOGL,Alphabet Inc.,2018-07-23T16:05:00.000Z,TAS,9.59,4.54,-52.67,EDT,-14400000,EQUITY
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,GOOGL,Alphabet Inc.,2018-04-23T16:05:00.000Z,TAS,9.28,13.33,43.63,EDT,-14400000,EQUITY
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,GOOGL,Alphabet Inc.,2018-02-01T16:03:00.000Z,TAS,9.98,9.7,-2.8,EST,-18000000,EQUITY
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,GOOGL,Alphabet Inc.,2017-10-26T16:03:00.000Z,TAS,8.33,9.57,14.91,EDT,-14400000,EQUITY
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,GOOGL,Alphabet Inc.,2017-07-24T16:01:00.000Z,TAS,4.49,5.01,11.68,EDT,-14400000,EQUITY
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,GOOGL,Alphabet Inc.,2017-04-27T16:02:00.000Z,TAS,7.39,7.73,4.59,EDT,-14400000,EQUITY
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,GOOGL,Alphabet Inc.,2017-01-26T16:04:00.000Z,TAS,9.65,9.36,-2.95,EST,-18000000,EQUITY
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,GOOGL,Alphabet Inc.,2016-10-27T16:02:00.000Z,TAS,8.63,9.06,5.02,EDT,-14400000,EQUITY
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,GOOGL,Alphabet Inc.,2016-07-28T16:01:00.000Z,TAS,8.04,8.42,4.73,EDT,-14400000,EQUITY
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,GOOGL,Alphabet Inc.,2016-04-21T16:02:00.000Z,TAS,7.97,7.5,-5.87,EDT,-14400000,EQUITY
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,GOOGL,Alphabet Inc.,2016-02-01T16:01:00.000Z,TAS,8.11,8.67,6.97,EST,-18000000,EQUITY
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,GOOGL,Alphabet Inc.,2015-10-22T16:02:00.000Z,TAS,7.21,7.35,2.01,EDT,-14400000,EQUITY
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,GOOGL,Alphabet Inc.,2015-07-16T16:02:00.000Z,TAS,6.7,6.99,4.36,EDT,-14400000,EQUITY
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,GOOGL,Alphabet Inc.,2015-04-23T16:00:00.000Z,TAS,6.6,6.57,-0.39,EDT,-14400000,EQUITY
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,GOOGL,Alphabet Inc.,2015-01-29T16:02:00.000Z,TAS,7.11,6.88,-3.28,EST,-18000000,EQUITY
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,GOOGL,Alphabet Inc.,2014-10-16T16:01:00.000Z,TAS,6.53,6.35,-2.74,EDT,-14400000,EQUITY
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,GOOGL,Alphabet Inc.,2014-07-17T04:00:00.000Z,TAS,6.24,6.08,-2.56,EDT,-14400000,EQUITY
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,GOOGL,Alphabet Inc.,2014-04-16T04:00:00.000Z,TAS,6.41,6.27,-2.13,EDT,-14400000,EQUITY
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,GOOGL,Alphabet Inc.,2014-01-30T05:00:00.000Z,TAS,6.1,6.01,-1.58,EST,-18000000,EQUITY
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,GOOGL,Alphabet Inc.,2013-10-17T04:00:00.000Z,TAS,5.17,5.37,3.85,EDT,-14400000,EQUITY
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,GOOGL,Alphabet Inc.,2013-07-18T04:00:00.000Z,TAS,5.39,4.78,-11.28,EDT,-14400000,EQUITY
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,GOOGL,Alphabet Inc.,2013-04-18T04:00:00.000Z,TAS,5.33,5.79,8.65,EDT,-14400000,EQUITY
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,GOOGL,Alphabet Inc.,2013-01-22T05:00:00.000Z,TAS,5.21,5.3,1.59,EST,-18000000,EQUITY
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,GOOGL,Alphabet Inc.,2012-10-18T04:00:00.000Z,TAS,5.33,4.51,-15.22,EDT,-14400000,EQUITY
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,GOOGL,Alphabet Inc.,2012-07-19T04:00:00.000Z,TAS,5.02,5.06,0.8,EDT,-14400000,EQUITY
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,GOOGL,Alphabet Inc.,2012-04-12T04:00:00.000Z,TAS,4.83,5.04,4.41,EDT,-14400000,EQUITY
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,GOOGL,Alphabet Inc.,2012-01-19T05:00:00.000Z,TAS,5.25,4.75,-9.52,EST,-18000000,EQUITY
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,GOOGL,Alphabet Inc.,2011-10-13T04:00:00.000Z,TAS,4.37,4.86,11.18,EDT,-14400000,EQUITY
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,GOOGL,Alphabet Inc.,2011-07-14T04:00:00.000Z,TAS,3.93,4.37,11.31,EDT,-14400000,EQUITY
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,GOOGL,Alphabet Inc.,2011-04-14T04:00:00.000Z,TAS,4.05,4.04,-0.3,EDT,-14400000,EQUITY
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,GOOGL,Alphabet Inc.,2011-01-20T05:00:00.000Z,TAS,4.05,4.38,8.07,EST,-18000000,EQUITY
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,GOOGL,Alphabet Inc.,2010-10-14T04:00:00.000Z,TAS,3.35,3.82,14.19,EDT,-14400000,EQUITY
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,GOOGL,Alphabet Inc.,2010-07-15T04:00:00.000Z,TAS,3.26,3.23,-1.04,EDT,-14400000,EQUITY
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,GOOGL,Alphabet Inc.,2010-04-15T04:00:00.000Z,TAS,3.3,3.38,2.49,EDT,-14400000,EQUITY
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,GOOGL,Alphabet Inc.,2010-01-21T05:00:00.000Z,TAS,3.24,3.4,4.79,EST,-18000000,EQUITY
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,GOOGL,Alphabet Inc.,2009-10-15T04:00:00.000Z,TAS,2.71,2.95,8.67,EDT,-14400000,EQUITY
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,GOOGL,Alphabet Inc.,2009-07-16T04:00:00.000Z,TAS,2.54,2.68,5.4,EDT,-14400000,EQUITY
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,GOOGL,Alphabet Inc.,2009-04-16T04:00:00.000Z,TAS,2.46,2.58,4.7,EDT,-14400000,EQUITY
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,GOOGL,Alphabet Inc.,2009-01-22T05:00:00.000Z,TAS,2.48,2.55,2.95,EST,-18000000,EQUITY
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,GOOGL,Alphabet Inc.,2008-10-16T04:00:00.000Z,TAS,2.37,2.46,3.59,EDT,-14400000,EQUITY
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,GOOGL,Alphabet Inc.,2008-07-17T04:00:00.000Z,TAS,2.37,2.32,-2.24,EDT,-14400000,EQUITY
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,GOOGL,Alphabet Inc.,2008-04-17T04:00:00.000Z,TAS,2.26,2.42,7.07,EDT,-14400000,EQUITY
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,GOOGL,Alphabet Inc.,2008-01-31T05:00:00.000Z,TAS,2.22,2.22,-0.33,EST,-18000000,EQUITY
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,GOOGL,Alphabet Inc.,2007-10-18T04:00:00.000Z,TAS,1.89,1.96,3.39,EDT,-14400000,EQUITY
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,GOOGL,Alphabet Inc.,2007-07-19T04:00:00.000Z,TAS,1.8,1.78,-0.92,EDT,-14400000,EQUITY
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,GOOGL,Alphabet Inc.,2007-04-19T04:00:00.000Z,TAS,1.65,1.84,11.21,EDT,-14400000,EQUITY
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,GOOGL,Alphabet Inc.,2007-01-31T05:00:00.000Z,TAS,1.46,1.59,8.98,EST,-18000000,EQUITY
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,GOOGL,Alphabet Inc.,2006-10-19T04:00:00.000Z,TAS,1.21,1.31,8.12,EDT,-14400000,EQUITY
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,GOOGL,Alphabet Inc.,2006-07-20T04:00:00.000Z,TAS,1.11,1.25,12.4,EDT,-14400000,EQUITY
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,GOOGL,Alphabet Inc.,2006-04-20T04:00:00.000Z,TAS,0.99,1.15,15.5,EDT,-14400000,EQUITY
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,GOOGL,Alphabet Inc.,2006-01-31T05:00:00.000Z,TAS,0.88,0.77,-12.58,EST,-18000000,EQUITY
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,GOOGL,Alphabet Inc.,2005-10-20T04:00:00.000Z,TAS,0.68,0.76,11.08,EDT,-14400000,EQUITY
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,GOOGL,Alphabet Inc.,2005-07-21T04:00:00.000Z,TAS,0.61,0.68,12.23,EDT,-14400000,EQUITY
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,GOOGL,Alphabet Inc.,2005-04-21T04:00:00.000Z,TAS,0.46,0.65,40.75,EDT,-14400000,EQUITY
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,GOOGL,Alphabet Inc.,2005-02-01T05:00:00.000Z,TAS,0.39,0.46,19.48,EST,-18000000,EQUITY
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,GOOGL,Alphabet Inc.,2004-10-21T04:00:00.000Z,TAS,0.28,0.35,24.35,EDT,-14400000,EQUITY
